area,areaName,movie_id,title,year,budget,budget_curr,total_amount,total_currency
XWW,World-wide,tt6673612,Dolittle,2020,175000000,USD,245438997,USD
XNDOM,International,tt6673612,Dolittle,2020,175000000,USD,168391932,USD
XR2,Russia and Commonwealth of Independent States,tt6673612,Dolittle,2020,175000000,USD,9130209,USD
XC4,Central America,tt6673612,Dolittle,2020,175000000,USD,1737008,USD
XWW,World-wide,tt4154796,Avengers: Endgame,2019,356000000,USD,2797501328,USD
XNDOM,International,tt4154796,Avengers: Endgame,2019,356000000,USD,1939128328,USD
XR2,Russia and Commonwealth of Independent States,tt4154796,Avengers: Endgame,2019,356000000,USD,46006725,USD
XWW,World-wide,tt4154756,Avengers: Infinity War,2018,321000000,USD,2048359754,USD
XNDOM,International,tt4154756,Avengers: Infinity War,2018,321000000,USD,1369544272,USD
XR2,Russia and Commonwealth of Independent States,tt4154756,Avengers: Infinity War,2018,321000000,USD,34597189,USD
XWW,World-wide,tt2250912,Spider-Man: Homecoming,2017,175000000,USD,880166924,USD
XNDOM,International,tt2250912,Spider-Man: Homecoming,2017,175000000,USD,545965784,USD
XR2,Russia and Commonwealth of Independent States,tt2250912,Spider-Man: Homecoming,2017,175000000,USD,16341826,USD
XWW,World-wide,tt3799694,The Nice Guys,2016,50000000,USD,62788218,USD
XNDOM,International,tt3799694,The Nice Guys,2016,50000000,USD,26526455,USD
XR2,Russia and Commonwealth of Independent States,tt3799694,The Nice Guys,2016,50000000,USD,2456043,USD
XWW,World-wide,tt3498820,Captain America: Civil War,2016,250000000,USD,1153337496,USD
XNDOM,International,tt3498820,Captain America: Civil War,2016,250000000,USD,745253147,USD
XR2,Russia and Commonwealth of Independent States,tt3498820,Captain America: Civil War,2016,250000000,USD,16557300,USD
XWW,World-wide,tt2395427,Avengers: Age of Ultron,2015,250000000,USD,1402809540,USD
XNDOM,International,tt2395427,Avengers: Age of Ultron,2015,250000000,USD,943803672,USD
XR2,Russia and Commonwealth of Independent States,tt2395427,Avengers: Age of Ultron,2015,250000000,USD,34323096,USD
XWW,World-wide,tt1872194,The Judge,2014,50000000,USD,84419388,USD
XNDOM,International,tt1872194,The Judge,2014,50000000,USD,37300000,USD
XR2,Russia and Commonwealth of Independent States,tt1872194,The Judge,2014,50000000,USD,4450812,USD
XKN,East Africa,tt1872194,The Judge,2014,50000000,USD,19317,USD
XWW,World-wide,tt2883512,Chef,2014,11000000,USD,48428048,USD
XNDOM,International,tt2883512,Chef,2014,11000000,USD,17004045,USD
XR2,Russia and Commonwealth of Independent States,tt2883512,Chef,2014,11000000,USD,287256,USD
XWW,World-wide,tt1300854,Iron Man 3,2013,200000000,USD,1214811252,USD
XNDOM,International,tt1300854,Iron Man 3,2013,200000000,USD,805797258,USD
XR2,Russia and Commonwealth of Independent States,tt1300854,Iron Man 3,2013,200000000,USD,44220462,USD
XKN,East Africa,tt1300854,Iron Man 3,2013,200000000,USD,347448,USD
XWW,World-wide,tt0848228,The Avengers,2012,220000000,USD,1518815515,USD
XNDOM,International,tt0848228,The Avengers,2012,220000000,USD,895457605,USD
XR2,Russia and Commonwealth of Independent States,tt0848228,The Avengers,2012,220000000,USD,43679945,USD
XKN,East Africa,tt0848228,The Avengers,2012,220000000,USD,323763,USD
XWW,World-wide,tt1515091,Sherlock Holmes: A Game of Shadows,2011,125000000,USD,543848418,USD
XNDOM,International,tt1515091,Sherlock Holmes: A Game of Shadows,2011,125000000,USD,357000000,USD
XR2,Russia and Commonwealth of Independent States,tt1515091,Sherlock Holmes: A Game of Shadows,2011,125000000,USD,28368113,USD
XKN,East Africa,tt1515091,Sherlock Holmes: A Game of Shadows,2011,125000000,USD,86036,USD
