actor_id,actor_name,film_list,type,category,title_ids
nm0000375,Robert Downey Jr.,Dolittle,movie,actor,tt6673612
nm0000375,Robert Downey Jr.,Avengers: Endgame,movie,actor,tt4154796
nm0000375,Robert Downey Jr.,Avengers: Infinity War,movie,actor,tt4154756
nm0000375,Robert Downey Jr.,Spider-Man: Homecoming,movie,actor,tt2250912
nm0000375,Robert Downey Jr.,The Nice Guys,movie,actor,tt3799694
nm0000375,Robert Downey Jr.,Captain America: Civil War,movie,actor,tt3498820
nm0000375,Robert Downey Jr.,Avengers: Age of Ultron,movie,actor,tt2395427
nm0000375,Robert Downey Jr.,The Judge,movie,actor,tt1872194
nm0000375,Robert Downey Jr.,Chef,movie,actor,tt2883512
nm0000375,Robert Downey Jr.,Iron Man 3,movie,actor,tt1300854
nm0000375,Robert Downey Jr.,The Avengers,movie,actor,tt0848228
nm0000375,Robert Downey Jr.,Sherlock Holmes: A Game of Shadows,movie,actor,tt1515091
nm0000375,Robert Downey Jr.,Due Date,movie,actor,tt1231583
nm0000375,Robert Downey Jr.,Iron Man 2,movie,actor,tt1228705
nm0000375,Robert Downey Jr.,Sherlock Holmes,movie,actor,tt0988045
nm0000375,Robert Downey Jr.,The Soloist,movie,actor,tt0821642
nm0000375,Robert Downey Jr.,Tropic Thunder,movie,actor,tt0942385
nm0000375,Robert Downey Jr.,The Incredible Hulk,movie,actor,tt0800080
nm0000375,Robert Downey Jr.,Iron Man,movie,actor,tt0371746
nm0000375,Robert Downey Jr.,Charlie Bartlett,movie,actor,tt0423977
nm0000375,Robert Downey Jr.,Lucky You,movie,actor,tt0338216
nm0000375,Robert Downey Jr.,Zodiac,movie,actor,tt0443706
nm0000375,Robert Downey Jr.,Fur: An Imaginary Portrait of Diane Arbus,movie,actor,tt0422295
nm0000375,Robert Downey Jr.,A Scanner Darkly,movie,actor,tt0405296
nm0000375,Robert Downey Jr.,The Shaggy Dog,movie,actor,tt0393735
nm0000375,Robert Downey Jr.,A Guide to Recognizing Your Saints,movie,actor,tt0473488
nm0000375,Robert Downey Jr.,Family Guy,tvSeries,actor,tt0182576
nm0000375,Robert Downey Jr.,"Good Night, and Good Luck.",movie,actor,tt0433383
nm0000375,Robert Downey Jr.,Kiss Kiss Bang Bang,movie,actor,tt0373469
nm0000375,Robert Downey Jr.,Game 6,movie,actor,tt0425055
nm0000375,Robert Downey Jr.,Eros,movie,actor,tt0343663
nm0000375,Robert Downey Jr.,Gothika,movie,actor,tt0348836
nm0000375,Robert Downey Jr.,The Singing Detective,movie,actor,tt0314676
nm0000375,Robert Downey Jr.,Ally McBeal,tvSeries,actor,tt0118254
nm0000375,Robert Downey Jr.,Wonder Boys,movie,actor,tt0185014
nm0000375,Robert Downey Jr.,Black & White,movie,actor,tt0165643
nm0000375,Robert Downey Jr.,Bowfinger,movie,actor,tt0131325
nm0000375,Robert Downey Jr.,Friends & Lovers,movie,actor,tt0143261
nm0000375,Robert Downey Jr.,In Dreams,movie,actor,tt0120710
nm0000375,Robert Downey Jr.,U.S. Marshals,movie,actor,tt0120873
nm0000375,Robert Downey Jr.,The Gingerbread Man,movie,actor,tt0119196
nm0000375,Robert Downey Jr.,Hugo Pool,movie,actor,tt0119327
nm0000375,Robert Downey Jr.,Two Girls and a Guy,movie,actor,tt0124179
nm0000375,Robert Downey Jr.,One Night Stand,movie,actor,tt0119832
nm0000375,Robert Downey Jr.,Danger Zone,movie,actor,tt0116016
nm0000375,Robert Downey Jr.,Restoration,movie,actor,tt0114272
nm0000375,Robert Downey Jr.,Home for the Holidays,movie,actor,tt0113321
nm0000375,Robert Downey Jr.,Richard III,movie,actor,tt0114279
nm0000375,Robert Downey Jr.,Only You,movie,actor,tt0110737
nm0000375,Robert Downey Jr.,Natural Born Killers,movie,actor,tt0110632
nm0000375,Robert Downey Jr.,Hail Caesar,movie,actor,tt0109969
nm0000375,Robert Downey Jr.,Short Cuts,movie,actor,tt0108122
nm0000375,Robert Downey Jr.,Heart and Souls,movie,actor,tt0107091
nm0000375,Robert Downey Jr.,Chaplin,movie,actor,tt0103939
nm0000375,Robert Downey Jr.,Soapdish,movie,actor,tt0102951
nm0000375,Robert Downey Jr.,Too Much Sun,movie,actor,tt0103100
nm0000375,Robert Downey Jr.,Air America,movie,actor,tt0099005
nm0000375,Robert Downey Jr.,Chances Are,movie,actor,tt0097044
nm0000375,Robert Downey Jr.,True Believer,movie,actor,tt0098524
nm0000375,Robert Downey Jr.,That's Adequate,movie,actor,tt0098464
nm0000375,Robert Downey Jr.,1969,movie,actor,tt0094594
nm0000375,Robert Downey Jr.,Johnny Be Good,movie,actor,tt0095409
nm0000375,Robert Downey Jr.,Less Than Zero,movie,actor,tt0093407
nm0000375,Robert Downey Jr.,Rented Lips,movie,actor,tt0095978
nm0000375,Robert Downey Jr.,The Pick-up Artist,movie,actor,tt0093737
nm0000375,Robert Downey Jr.,America,movie,actor,tt0090629
nm0000375,Robert Downey Jr.,Back to School,movie,actor,tt0090685
nm0000375,Robert Downey Jr.,Saturday Night Live,tvSeries,actor,tt0072562
nm0000375,Robert Downey Jr.,Weird Science,movie,actor,tt0090305
nm0000375,Robert Downey Jr.,Girls Just Want to Have Fun,movie,actor,tt0089208
nm0000375,Robert Downey Jr.,Tuff Turf,movie,actor,tt0090213
nm0000375,Robert Downey Jr.,Firstborn,movie,actor,tt0087263
nm0000375,Robert Downey Jr.,Baby It's You,movie,actor,tt0085208
nm0000375,Robert Downey Jr.,Up the Academy,movie,actor,tt0081695
nm0000375,Robert Downey Jr.,Greaser's Palace,movie,actor,tt0068659
nm0000375,Robert Downey Jr.,Pound,movie,actor,tt0066234
nm0002049,NA,Saturday Night Live,tvSeries,actor,tt0072562
nm0002049,NA,Tower Heist,movie,actor,tt0471042
nm0002049,NA,From Other Worlds,movie,actor,tt0363623
nm0002049,NA,The Family Man,movie,actor,tt0218967
nm0002049,NA,Magnolia,movie,actor,tt0175880
nm0002049,NA,Boogie Nights,movie,actor,tt0118749
nm0002049,NA,The Sunchaser,movie,actor,tt0117781
nm0002049,NA,Hail Caesar,movie,actor,tt0109969
nm0002049,NA,1st & Ten,tvSeries,actor,tt0086660
nm0002049,NA,Johnny Be Good,movie,actor,tt0095409
nm0002049,NA,Matlock,tvSeries,actor,tt0090481
nm0002049,NA,To Live and Die in L.A.,movie,actor,tt0090180
nm0002049,NA,The Twilight Zone,tvSeries,actor,tt0088634
nm0002049,NA,You've Got to Walk It Like You Talk It or You'll Lose That Beat,movie,actor,tt0068006
nm0002049,NA,Putney Swope,movie,actor,tt0064855
nm0002049,NA,No More Excuses,movie,actor,tt0251300
nm2949192,NA,French and Saunders,tvSeries,actor,tt0092355
nm2949192,NA,Gems,tvSeries,actor,tt0290962
nm0001570,Edward Norton,The French Dispatch,movie,actor,tt8847712
nm0001570,Edward Norton,Motherless Brooklyn,movie,actor,tt0385887
nm0001570,Edward Norton,Alita: Battle Angel,movie,actor,tt0437086
nm0001570,Edward Norton,Ask the StoryBots,tvSeries,actor,tt5846856
nm0001570,Edward Norton,Isle of Dogs,movie,actor,tt5104604
nm0001570,Edward Norton,Collateral Beauty,movie,actor,tt4682786
nm0001570,Edward Norton,Sausage Party,movie,actor,tt1700841
nm0001570,Edward Norton,The Guardian Brothers,movie,actor,tt4788934
nm0001570,Edward Norton,Last Week Tonight with John Oliver,tvSeries,actor,tt3530232
nm0001570,Edward Norton,Nature Is Speaking,tvSeries,actor,tt5786876
nm0001570,Edward Norton,Birdman or (The Unexpected Virtue of Ignorance),movie,actor,tt2562232
nm0001570,Edward Norton,The Grand Budapest Hotel,movie,actor,tt2278388
nm0001570,Edward Norton,Saturday Night Live,tvSeries,actor,tt0072562
nm0001570,Edward Norton,The Simpsons,tvSeries,actor,tt0096697
nm0001570,Edward Norton,The Bourne Legacy,movie,actor,tt1194173
nm0001570,Edward Norton,Moonrise Kingdom,movie,actor,tt1748122
nm0001570,Edward Norton,The Dictator,movie,actor,tt1645170
nm0001570,Edward Norton,Stone,movie,actor,tt1423995
nm0001570,Edward Norton,Modern Family,tvSeries,actor,tt1442437
nm0001570,Edward Norton,Leaves of Grass,movie,actor,tt1151359
nm0001570,Edward Norton,The Invention of Lying,movie,actor,tt1058017
nm0001570,Edward Norton,Pride and Glory,movie,actor,tt0482572
nm0001570,Edward Norton,The Incredible Hulk,movie,actor,tt0800080
nm0001570,Edward Norton,The Painted Veil,movie,actor,tt0446755
nm0001570,Edward Norton,The Illusionist,movie,actor,tt0443543
nm0001570,Edward Norton,Stella,tvSeries,actor,tt0443409
nm0001570,Edward Norton,Down in the Valley,movie,actor,tt0398027
nm0001570,Edward Norton,Kingdom of Heaven,movie,actor,tt0320661
nm0001570,Edward Norton,After the Sunset,movie,actor,tt0367479
nm0001570,Edward Norton,The Italian Job,movie,actor,tt0317740
nm0001570,Edward Norton,25th Hour,movie,actor,tt0307901
nm0001570,Edward Norton,Red Dragon,movie,actor,tt0289765
nm0001570,Edward Norton,Frida,movie,actor,tt0120679
nm0001570,Edward Norton,Death to Smoochy,movie,actor,tt0266452
nm0001570,Edward Norton,The Score,movie,actor,tt0227445
nm0001570,Edward Norton,Keeping the Faith,movie,actor,tt0171433
nm0001570,Edward Norton,Fight Club,movie,actor,tt0137523
nm0001570,Edward Norton,Rounders,movie,actor,tt0128442
nm0001570,Edward Norton,American History X,movie,actor,tt0120586
nm0001570,Edward Norton,The People vs. Larry Flynt,movie,actor,tt0117318
nm0001570,Edward Norton,Everyone Says I Love You,movie,actor,tt0116242
nm0001570,Edward Norton,Primal Fear,movie,actor,tt0117381
nm0636268,NA,Life with Henry,movie,actor,tt0033834
nm0636268,NA,Christmas in July,movie,actor,tt0032338
nm0636268,NA,I Promise to Pay,movie,actor,tt0029039
nm0636268,NA,Everybody's Old Man,movie,actor,tt0027587
nm0636268,NA,The Music Goes 'Round,movie,actor,tt0028005
nm0636268,NA,The Murder of Dr. Harrigan,movie,actor,tt0028002
nm0636268,NA,The Lone Wolf Returns,movie,actor,tt0026646
nm0636268,NA,In Old Kentucky,movie,actor,tt0026524
nm0636268,NA,Grand Exit,movie,actor,tt0026431
nm0636268,NA,Bad Boy,movie,actor,tt0026093
nm0636268,NA,The Case of the Lucky Legs,movie,actor,tt0026185
nm0636268,NA,Redheads on Parade,movie,actor,tt0026920
nm0636268,NA,George White's 1935 Scandals,movie,actor,tt0026403
nm0636268,NA,The Whole Town's Talking,movie,actor,tt0027214
nm0636268,NA,Maybe It's Love,movie,actor,tt0026691
nm0636268,NA,Helldorado,movie,actor,tt0026462
nm0636268,NA,Racketeer Round-up,movie,actor,tt0144227
nm0636268,NA,Now I'll Tell,movie,actor,tt0025579
nm0636268,NA,The Merry Frinks,movie,actor,tt0025492
nm0636268,NA,Bottoms Up,movie,actor,tt0024910
nm0636268,NA,David Harum,movie,actor,tt0025035
nm0636201,Edward Norton,The Single Track,movie,actor,tt0012695
nm0636280,NA,Rage,movie,actor,tt8874764
nm0636280,NA,Tiger Cops,tvSeries,actor,tt6848322
nm0636280,NA,Underdog Kids,movie,actor,tt3150574
nm0636280,NA,Mad Max: Fury Road,movie,actor,tt1392190
nm0636280,NA,Spartacus,tvSeries,actor,tt1442449
nm0636280,NA,Dead in Love,movie,actor,tt1320085
nm0636280,NA,Under a Red Moon,movie,actor,tt1245679
nm0636280,NA,Dream Warrior,movie,actor,tt0322651
nm0636280,NA,Mind Games,movie,actor,tt0300500
nm0636280,NA,Secrets of the Shell,movie,actor,tt7868778
nm0636280,NA,The Rage Within,movie,actor,tt0214032
nm0636280,NA,Amazons and Gladiators,movie,actor,tt0275913
nm0636280,NA,"Walker, Texas Ranger",tvSeries,actor,tt0106168
nm0636280,NA,Nautilus,movie,actor,tt0165400
nm0636280,NA,The New Adventures of Robin Hood,tvSeries,actor,tt0115289
nm0636280,NA,Black Thunder,movie,actor,tt0118732
nm0636280,NA,Water Rats,tvSeries,actor,tt0115417
nm0636280,NA,Mr. Nice Guy,movie,actor,tt0117786
nm0636280,NA,Strategic Command,movie,actor,tt0120224
nm0636280,NA,For Life or Death,movie,actor,tt0144930
nm0636280,NA,Under the Gun,movie,actor,tt0114783
nm0636280,NA,Cyber Tracker,movie,actor,tt0109515
nm0636280,NA,Kung Fu: The Legend Continues,tvSeries,actor,tt0103460
nm0636280,NA,Rage,movie,actor,tt0109581
nm0636280,NA,Rage and Honor II,movie,actor,tt0107917
nm0636280,NA,City Hunter,movie,actor,tt0103950
nm0636280,NA,Ironheart,movie,actor,tt0104530
nm0636280,NA,Rage and Honor,movie,actor,tt0105212
nm0636280,NA,Raiders of the Sun,movie,actor,tt0105213
nm0636280,NA,Lady Dragon,movie,actor,tt0104667
nm0636280,NA,The Sword of Bushido,movie,actor,tt0098422
nm0636280,NA,China O'Brien,movie,actor,tt0099260
nm0636280,NA,The Blood of Heroes,movie,actor,tt0094764
nm0636280,NA,The Fighter,movie,actor,tt0093022
nm0636280,NA,Hyper Space,movie,actor,tt0249591
nm0636280,NA,Not Another Mistake,movie,actor,tt0094920
nm0636280,NA,Blood Street,movie,actor,tt0131979
nm0636280,NA,Future Hunters,movie,actor,tt0097404
nm0636280,NA,Return of the Kickfighter,movie,actor,tt0093549
nm0636280,NA,Equalizer 2000,movie,actor,tt0091012
nm0636280,NA,Fight to Win,movie,actor,tt0165776
nm0636280,NA,Magic Crystal,movie,actor,tt0091532
nm0636280,NA,Millionaires' Express,movie,actor,tt0091091
nm0636280,NA,American Warrior,movie,actor,tt0088708
