actor_id,actor_name,category,title_id,title,year,type,budget,budget_currency,World-wide,International,Domestic,boxoffice_currency
nm0000375,Robert Downey Jr.,actor,tt6673612,Dolittle,2020,movie,175000000,USD,245438997,168391932,77047065,USD
nm0000375,Robert Downey Jr.,actor,tt4154796,Avengers: Endgame,2019,movie,356000000,USD,2797501328,1939128328,858373000,USD
nm0000375,Robert Downey Jr.,actor,tt4154756,Avengers: Infinity War,2018,movie,321000000,USD,2048359754,1369544272,678815482,USD
nm0000375,Robert Downey Jr.,actor,tt2250912,Spider-Man: Homecoming,2017,movie,175000000,USD,880166924,545965784,334201140,USD
nm0000375,Robert Downey Jr.,actor,tt3799694,The Nice Guys,2016,movie,50000000,USD,62788218,26526455,36261763,USD
nm0000375,Robert Downey Jr.,actor,tt3498820,Captain America: Civil War,2016,movie,250000000,USD,1153337496,745253147,408084349,USD
nm0000375,Robert Downey Jr.,actor,tt2395427,Avengers: Age of Ultron,2015,movie,250000000,USD,1402809540,943803672,459005868,USD
nm0000375,Robert Downey Jr.,actor,tt1872194,The Judge,2014,movie,50000000,USD,84419388,37300000,47119388,USD
nm0000375,Robert Downey Jr.,actor,tt2883512,Chef,2014,movie,11000000,USD,48428048,17004045,31424003,USD
nm0000375,Robert Downey Jr.,actor,tt1300854,Iron Man 3,2013,movie,200000000,USD,1214811252,805797258,409013994,USD
nm0000375,Robert Downey Jr.,actor,tt0848228,The Avengers,2012,movie,220000000,USD,1518815515,895457605,623357910,USD
nm0000375,Robert Downey Jr.,actor,tt1515091,Sherlock Holmes: A Game of Shadows,2011,movie,125000000,USD,543848418,357000000,186848418,USD
nm0000375,Robert Downey Jr.,actor,tt1231583,Due Date,2010,movie,65000000,USD,211780824,111241781,100539043,USD
nm0000375,Robert Downey Jr.,actor,tt1228705,Iron Man 2,2010,movie,200000000,USD,623933331,311500000,312433331,USD
nm0000375,Robert Downey Jr.,actor,tt0988045,Sherlock Holmes,2009,movie,90000000,USD,524028679,315000000,209028679,USD
nm0000375,Robert Downey Jr.,actor,tt0821642,The Soloist,2009,movie,60000000,USD,38332994,6612836,31720158,USD
nm0000375,Robert Downey Jr.,actor,tt0942385,Tropic Thunder,2008,movie,92000000,USD,195702963,85187650,110515313,USD
nm0000375,Robert Downey Jr.,actor,tt0800080,The Incredible Hulk,2008,movie,150000000,USD,264770996,129964083,134806913,USD
nm0000375,Robert Downey Jr.,actor,tt0371746,Iron Man,2008,movie,140000000,USD,585796247,266762121,319034126,USD
nm0000375,Robert Downey Jr.,actor,tt0423977,Charlie Bartlett,2007,movie,12000000,USD,5254986,1303287,3951699,USD
nm0000375,Robert Downey Jr.,actor,tt0338216,Lucky You,2007,movie,55000000,USD,8461686,2702736,5758950,USD
nm0000375,Robert Downey Jr.,actor,tt0443706,Zodiac,2007,movie,65000000,USD,84785914,51705830,33080084,USD
nm0000375,Robert Downey Jr.,actor,tt0422295,Fur: An Imaginary Portrait of Diane Arbus,2006,movie,16800000,USD,2312717,2089515,223202,USD
nm0000375,Robert Downey Jr.,actor,tt0405296,A Scanner Darkly,2006,movie,8700000,USD,7659918,2158302,5501616,USD
nm0000375,Robert Downey Jr.,actor,tt0393735,The Shaggy Dog,2006,movie,50000000,USD,87134280,26010711,61123569,USD
nm0000375,Robert Downey Jr.,actor,tt0473488,A Guide to Recognizing Your Saints,2006,movie,0,NULL,2035468,1517659,517809,USD
nm0000375,Robert Downey Jr.,actor,tt0182576,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0433383,"Good Night, and Good Luck.",2005,movie,7000000,USD,54641191,23083188,31558003,USD
nm0000375,Robert Downey Jr.,actor,tt0373469,Kiss Kiss Bang Bang,2005,movie,15000000,USD,15785148,11541392,4243756,USD
nm0000375,Robert Downey Jr.,actor,tt0425055,Game 6,2005,movie,1000000,USD,129664,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0343663,Eros,2004,movie,0,NULL,1553020,1364628,188392,USD
nm0000375,Robert Downey Jr.,actor,tt0348836,Gothika,2003,movie,40000000,USD,141591324,81896744,59694580,USD
nm0000375,Robert Downey Jr.,actor,tt0314676,The Singing Detective,2003,movie,8000000,USD,435625,98451,337174,USD
nm0000375,Robert Downey Jr.,actor,tt0118254,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0185014,Wonder Boys,2000,movie,55000000,USD,33426588,14033031,19393557,USD
nm0000375,Robert Downey Jr.,actor,tt0165643,Black & White,1999,movie,12000000,USD,5541431,264132,5277299,USD
nm0000375,Robert Downey Jr.,actor,tt0131325,Bowfinger,1999,movie,55000000,USD,98625775,32241000,66384775,USD
nm0000375,Robert Downey Jr.,actor,tt0143261,Friends & Lovers,1999,movie,0,NULL,33543,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0120710,In Dreams,1999,movie,30000000,USD,12017369,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0120873,U.S. Marshals,1998,movie,60000000,USD,102367405,45200000,57167405,USD
nm0000375,Robert Downey Jr.,actor,tt0119196,The Gingerbread Man,1998,movie,25000000,USD,1677131,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0119327,Hugo Pool,1997,movie,0,NULL,13330,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0124179,Two Girls and a Guy,1997,movie,1000000,USD,2057193,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0119832,One Night Stand,1997,movie,24000000,USD,2642983,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0116016,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0114272,Restoration,1995,movie,19000000,USD,4005941,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0113321,Home for the Holidays,1995,movie,20000000,USD,17519169,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0114279,Richard III,1995,movie,6000000,GBP,2748518,63614,2684904,USD
nm0000375,Robert Downey Jr.,actor,tt0110737,Only You,1994,movie,0,NULL,20059210,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0110632,Natural Born Killers,1994,movie,34000000,USD,50283563,797,50282766,USD
nm0000375,Robert Downey Jr.,actor,tt0109969,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0108122,Short Cuts,1993,movie,0,NULL,6110979,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0107091,Heart and Souls,1993,movie,25000000,USD,16589540,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0103939,Chaplin,1992,movie,31000000,USD,9493259,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0102951,Soapdish,1991,movie,25000000,USD,36489888,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0103100,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0099005,Air America,1990,movie,35000000,USD,33461269,2407668,31053601,USD
nm0000375,Robert Downey Jr.,actor,tt0097044,Chances Are,1989,movie,16000000,USD,16278590,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0098524,True Believer,1989,movie,0,NULL,8742750,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0098464,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0094594,1969,1988,movie,7000000,USD,5979011,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0095409,Johnny Be Good,1988,movie,22000000,USD,17550399,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0093407,Less Than Zero,1987,movie,0,NULL,12396383,NA,NA,USD
nm0000375,Robert Downey Jr.,actor,tt0095978,NA,NA,movie,NA,NA,NA,NA,NA,NA
