actor_id,actor_name,title,category,title_id,year,type,budget,budget_currency,World-wide,International,Domestic,boxoffice_currency
nm1659221,Sebastian Stan,Pam & Tommy,actor,tt13659418,NA,tvMiniSeries,NA,NA,NA,NA,NA,NA
nm1659221,Sebastian Stan,Fresh,actor,tt13403046,NA,movie,NA,NA,NA,NA,NA,NA
nm1659221,Sebastian Stan,The 355,actor,tt8356942,2022,movie,0,NULL,27665746,13095291,14570455,USD
nm1659221,Sebastian Stan,What If...?,actor,tt10168312,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm1659221,Sebastian Stan,The Falcon and the Winter Soldier,actor,tt9208876,NA,tvMiniSeries,NA,NA,NA,NA,NA,NA
nm1659221,Sebastian Stan,Monday,actor,tt8884906,2020,movie,0,NULL,30932,NA,NA,USD
nm1659221,Sebastian Stan,The Devil All the Time,actor,tt7395114,NA,movie,NA,NA,NA,NA,NA,NA
nm1659221,Sebastian Stan,The Last Full Measure,actor,tt0783640,2019,movie,20000000,USD,3364426,415214,2949212,USD
nm1659221,Sebastian Stan,"Endings, Beginnings",actor,tt9147456,2019,movie,0,NULL,239231,239231,0,USD
nm1659221,Sebastian Stan,Avengers: Endgame,actor,tt4154796,2019,movie,356000000,USD,2797501328,1939128328,858373000,USD
nm1659221,Sebastian Stan,We Have Always Lived in the Castle,actor,tt5952138,2018,movie,0,NULL,62567,62567,0,USD
nm1659221,Sebastian Stan,Joseph Pulitzer: Voice of the People,actor,tt7428030,2018,movie,0,NULL,16970,NA,NA,USD
nm1659221,Sebastian Stan,Destroyer,actor,tt7137380,2018,movie,9000000,USD,5580940,4047616,1533324,USD
nm1659221,Sebastian Stan,Avengers: Infinity War,actor,tt4154756,2018,movie,321000000,USD,2048359754,1369544272,678815482,USD
nm1659221,Sebastian Stan,Black Panther,actor,tt1825683,2018,movie,200000000,USD,1347597973,647171407,700426566,USD
nm1659221,Sebastian Stan,I'm Not Here,actor,tt5657712,NA,movie,NA,NA,NA,NA,NA,NA
nm1659221,Sebastian Stan,"I, Tonya",actor,tt5580036,2017,movie,11000000,USD,53939297,23924758,30014539,USD
nm1659221,Sebastian Stan,Logan Lucky,actor,tt5439796,2017,movie,29000000,USD,48453605,20672628,27780977,USD
nm1659221,Sebastian Stan,I'm Dying Up Here,actor,tt4938700,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm1659221,Sebastian Stan,Captain America: Civil War,actor,tt3498820,2016,movie,250000000,USD,1153337496,745253147,408084349,USD
nm1659221,Sebastian Stan,The Martian,actor,tt3659388,2015,movie,108000000,USD,630620818,402187155,228433663,USD
nm1659221,Sebastian Stan,Ricki and the Flash,actor,tt3623726,2015,movie,18000000,USD,41325328,14503184,26822144,USD
nm1659221,Sebastian Stan,Ant-Man,actor,tt0478970,2015,movie,130000000,USD,519311965,339109802,180202163,USD
nm1659221,Sebastian Stan,The Bronze,actor,tt3859304,2015,movie,3500000,USD,615816,NA,NA,USD
nm1659221,Sebastian Stan,Captain America: The Winter Soldier,actor,tt1843866,2014,movie,170000000,USD,714421503,454654931,259766572,USD
