movie_id,title,year,budget,domestic_gross,international_gross,total_gross
tt0371746,Iron Man,2008,140000000,319034126,248196810,567230936
tt1300854,Iron Man 3,2013,200000000,409013994,708205346,1117219340
tt1228705,Iron Man 2,2010,200000000,312433331,266755714,579189045
tt0800080,The Incredible Hulk,2008,150000000,134806913,119444578,254251491
tt3501632,Thor: Ragnarok,2017,180000000,315058289,486886000,801944289
tt0800369,Thor,2011,150000000,181030624,219950946,400981570
tt1981115,Thor: The Dark World,2013,170000000,206362140,355415376,561777516
tt0458339,Captain America: The First Avenger,2011,140000000,176654505,162207313,338861818
tt3498820,Captain America: Civil War,2016,250000000,408084349,662457928,1070542277
tt1843866,Captain America: The Winter Soldier,2014,170000000,259766572,399347593,659114165
tt2015381,Guardians of the Galaxy,2014,170000000,333718600,356296866,690015466
tt3896198,Guardians of the Galaxy Vol. 2,2017,200000000,389813101,426465841,816278942
tt2395427,Avengers: Age of Ultron,2015,250000000,459005868,862724372,1321730240
tt0478970,Ant-Man,2015,130000000,180202163,311192307,491394470
tt5095030,Ant-Man and the Wasp,2018,162000000,216648740,373195903,589844643
tt1211837,Doctor Strange,2016,165000000,232641920,396496433,629138353
tt2250912,Spider-Man: Homecoming,2017,175000000,334201140,521042903,855244043
tt6320628,Spider-Man: Far from Home,2019,160000000,390532085,692177299,1082709384
tt1825683,Black Panther,2018,200000000,700426566,583864183,1284290749
tt4154756,Avengers: Infinity War,2018,321000000,678815482,1233053894,1911869376
tt4154664,Captain Marvel,2019,160000000,426829839,641259900,1068089739
tt3480822,Black Widow,2021,200000000,183651655,170427310,354078965
tt9376612,Shang-Chi and the Legend of the Ten Rings,2021,200000000,224543292,181769166,406312458
tt9032400,Eternals,2021,200000000,164870234,214128717,378998951
tt10872600,Spider-Man: No Way Home,2021,200000000,802983275,801695906,1604679181
tt0848228,The Avengers,2012,220000000,623357910,781096430,1404454340
