actor_name,category,title,year,release_date,type,MCU,budget_USD,budget_scaled,World_Wide,International,Domestic,award_mcu,award_name,award_category,event_name,winner,color_id
Robert Downey Jr.,actor,Dolittle,2020,2020-01-17,Movie,Non-MCU,175000000,5.457735198821963,245438997,168391932,77047065,Non-MCU,NA,NA,NA,NA,#C4D6FA
Robert Downey Jr.,actor,Avengers: Endgame,2019,2019-04-26,Movie,MCU,356000000,8,2797501328,1939128328,858373000,MCU,NA,NA,NA,NA,#233f92
Robert Downey Jr.,actor,Avengers: Infinity War,2018,2018-04-27,Movie,MCU,321000000,7.508401834026347,2048359754,1369544272,678815482,MCU,NA,NA,NA,NA,#233f92
Robert Downey Jr.,actor,Spider-Man: Homecoming,2017,2017-07-07,Movie,MCU,175000000,5.457735198821963,880166924,545965784,334201140,MCU,NA,NA,NA,NA,#233f92
Robert Downey Jr.,actor,The Nice Guys,2016,2016-05-20,Movie,Non-MCU,50000000,3.7020274632017705,62788218,26526455,36261763,Non-MCU,NA,NA,NA,NA,#C4D6FA
Robert Downey Jr.,actor,Captain America: Civil War,2016,2016-05-06,Movie,MCU,250000000,6.511159840194077,1153337496,745253147,408084349,MCU,NA,NA,NA,NA,#233f92
Robert Downey Jr.,actor,Avengers: Age of Ultron,2015,2015-05-01,Movie,MCU,250000000,6.511159840194077,1402809540,943803672,459005868,MCU,NA,NA,NA,NA,#233f92
Robert Downey Jr.,actor,The Judge,2014,2014-10-10,Movie,Non-MCU,50000000,3.7020274632017705,84419388,37300000,47119388,Non-MCU,NA,NA,NA,NA,#C4D6FA
Robert Downey Jr.,actor,Chef,2014,2014-05-30,Movie,Non-MCU,11000000,3.1542466496882704,48428048,17004045,31424003,Non-MCU,NA,NA,NA,NA,#C4D6FA
Robert Downey Jr.,actor,Iron Man 3,2013,2013-05-03,Movie,MCU,200000000,5.808876745946001,1214811252,805797258,409013994,MCU,NA,NA,NA,NA,#233f92
Robert Downey Jr.,actor,The Avengers,2012,2012-05-04,Movie,MCU,220000000,6.089789983645232,1518815515,895457605,623357910,MCU,NA,NA,NA,NA,#233f92
