title_id,title,release_date
tt13659418,Pam & Tommy,2022-02-02
tt13403046,Fresh,2022-03-04
tt8356942,The 355,2022-01-07
tt10168312,What If...?,2021-08-11
tt9208876,The Falcon and the Winter Soldier,2021-03-19
tt8884906,Monday,2021-04-16
tt7395114,The Devil All the Time,2020-09-10
tt0783640,The Last Full Measure,2020-01-24
tt9147456,"Endings, Beginnings",2020-05-01
tt4154796,Avengers: Endgame,2019-04-26
tt5952138,We Have Always Lived in the Castle,2019-05-17
tt7428030,Joseph Pulitzer: Voice of the People,2018-09-01
tt7137380,Destroyer,2018-08-31
tt4154756,Avengers: Infinity War,2018-04-27
tt1825683,Black Panther,2018-02-16
tt5657712,I'm Not Here,2019-03-08
tt5580036,"I, Tonya",2018-01-19
tt5439796,Logan Lucky,2017-08-18
tt4938700,I'm Dying Up Here,2017-06-04
tt3498820,Captain America: Civil War,2016-05-06
tt3659388,The Martian,2015-10-02
tt3623726,Ricki and the Flash,2015-08-07
tt0478970,Ant-Man,2015-07-17
tt3859304,The Bronze,2016-03-18
tt1843866,Captain America: The Winter Soldier,2014-04-04
tt1843230,Once Upon a Time,2011-10-23
tt1866570,Labyrinth,2014-05-22
tt1433822,The Apparition,2012-08-24
tt2239947,Political Animals,2012-07-15
tt1838544,Gone,2012-02-24
tt0458339,Captain America: The First Avenger,2011-07-22
tt0947798,Black Swan,2010-12-17
tt0397442,Gossip Girl,2007-09-19
tt1231587,Hot Tub Time Machine,2010-03-26
tt1137462,Kings,2009-03-15
tt1186370,Spread,2009-01-17
tt1084950,Rachel Getting Married,2008-09-15
tt0783515,The Education of Charlie Banks,2007-04-27
tt0475944,The Covenant,2006-09-08
tt0466665,The Architect,2006-04-26
tt0415234,Red Doors,2006-09-08
tt0375145,Tony & Tina's Wedding,2004-05-03
tt0098844,Law & Order,1990-09-13
tt0109020,71 Fragments of a Chronology of Chance,1995-10-26
tt9140560,WandaVision,2021-01-15
tt8000638,Sorry for Your Loss,2018-09-18
tt5905038,HarmonQuest,2016-07-14
tt1880399,Kodachrome,2018-04-20
tt5362988,Wind River,2017-08-18
tt5962210,Ingrid Goes West,2017-08-25
tt2712612,Drunk History,2013-07-09
tt1490785,I Saw the Light,2016-04-01
tt2395427,Avengers: Age of Ultron,2015-05-01
tt0831387,Godzilla,2014-05-16
tt1321511,Oldboy,2013-11-27
tt0409379,In Secret,2014-01-08
tt1931602,Very Good Girls,2014-06-24
tt1311071,Kill Your Darlings,2013-01-18
