actor_id,actor_name,award_name,award_category,event_name,winner,year,titles
nm0000375,Robert Downey Jr.,Oscar,Best Performance by an Actor in a Supporting Role,"Academy Awards, USA",Nominated,2009,Tropic Thunder
nm0000375,Robert Downey Jr.,Oscar,Best Performance by an Actor in a Supporting Role,"Academy Awards, USA",Nominated,2009,Tropic Thunder
nm0000375,Robert Downey Jr.,Oscar,Best Actor in a Leading Role,"Academy Awards, USA",Nominated,1993,Chaplin
nm0000375,Robert Downey Jr.,Oscar,Best Actor in a Leading Role,"Academy Awards, USA",Nominated,1993,Chaplin
nm0000375,Robert Downey Jr.,Primetime Emmy,Outstanding Supporting Actor in a Comedy Series,Primetime Emmy Awards,Nominated,2001,Ally McBeal
nm0000375,Robert Downey Jr.,Primetime Emmy,Outstanding Supporting Actor in a Comedy Series,Primetime Emmy Awards,Nominated,2001,Ally McBeal
nm0001570,Edward Norton,Oscar,Best Actor in a Supporting Role,"Academy Awards, USA",Nominated,1997,Primal Fear
nm0001570,Edward Norton,Oscar,Best Actor in a Leading Role,"Academy Awards, USA",Nominated,1999,American History X
nm0001570,Edward Norton,Primetime Emmy,Outstanding Nonfiction Special,Primetime Emmy Awards,Nominated,2010,By the People: The Election of Barack Obama
nm0001570,Edward Norton,Oscar,Best Performance by an Actor in a Supporting Role,"Academy Awards, USA",Nominated,2015,Birdman or (The Unexpected Virtue of Ignorance)
nm0001570,Edward Norton,Daytime Emmy,"Outstanding Performer in a Children's, Family Viewing or Special Class Program",Daytime Emmy Awards,Nominated,2019,Ask the StoryBots
nm1212722,Benedict Cumberbatch,Primetime Emmy,Outstanding Lead Actor in a Miniseries or a Movie,Primetime Emmy Awards,Nominated,2012,Sherlock
nm1212722,Benedict Cumberbatch,Primetime Emmy,Outstanding Lead Actor in a Miniseries or a Movie,Primetime Emmy Awards,Nominated,2013,Parade's End
nm1212722,Benedict Cumberbatch,Primetime Emmy,Outstanding Lead Actor in a Miniseries or a Movie,Primetime Emmy Awards,Winner,2014,Sherlock
nm1212722,Benedict Cumberbatch,Oscar,Best Performance by an Actor in a Leading Role,"Academy Awards, USA",Nominated,2015,The Imitation Game
nm1212722,Benedict Cumberbatch,Primetime Emmy,Outstanding Lead Actor in a Limited Series or a Movie,Primetime Emmy Awards,Nominated,2016,Sherlock
nm1212722,Benedict Cumberbatch,Primetime Emmy,Outstanding Lead Actor in a Limited Series or Movie,Primetime Emmy Awards,Nominated,2017,Sherlock
nm1212722,Benedict Cumberbatch,Primetime Emmy,Outstanding Limited Series,Primetime Emmy Awards,Nominated,2018,Patrick Melrose
nm1212722,Benedict Cumberbatch,Primetime Emmy,Outstanding Lead Actor in a Limited Series or Movie,Primetime Emmy Awards,Nominated,2018,Patrick Melrose
nm1212722,Benedict Cumberbatch,Oscar,Best Performance by an Actor in a Leading Role,"Academy Awards, USA",Nominated,2022,The Power of the Dog
nm1569276,Chadwick Boseman,Oscar,Best Performance by an Actor in a Leading Role,"Academy Awards, USA",Nominated,2021,Ma Rainey's Black Bottom
nm0488953,Brie Larson,Oscar,Best Performance by an Actress in a Leading Role,"Academy Awards, USA",Winner,2016,Room
nm0488953,Brie Larson,Primetime Emmy,Outstanding Original Interactive Program,Primetime Emmy Awards,Winner,2020,NULL
nm0424060,Scarlett Johansson,Oscar,Best Performance by an Actress in a Leading Role,"Academy Awards, USA",Nominated,2020,Marriage Story
