actor_id,actor_name,title,category,title_id,year,type,budget,budget_currency,World-wide,International,Domestic,boxoffice_currency
nm0000375,Robert Downey Jr.,Dolittle,actor,tt6673612,2020,movie,175000000,USD,245438997,168391932,77047065,USD
nm0000375,Robert Downey Jr.,Avengers: Endgame,actor,tt4154796,2019,movie,356000000,USD,2797501328,1939128328,858373000,USD
nm0000375,Robert Downey Jr.,Avengers: Infinity War,actor,tt4154756,2018,movie,321000000,USD,2048359754,1369544272,678815482,USD
nm0000375,Robert Downey Jr.,Spider-Man: Homecoming,actor,tt2250912,2017,movie,175000000,USD,880166924,545965784,334201140,USD
nm0000375,Robert Downey Jr.,The Nice Guys,actor,tt3799694,2016,movie,50000000,USD,62788218,26526455,36261763,USD
nm0000375,Robert Downey Jr.,Captain America: Civil War,actor,tt3498820,2016,movie,250000000,USD,1153337496,745253147,408084349,USD
nm0000375,Robert Downey Jr.,Avengers: Age of Ultron,actor,tt2395427,2015,movie,250000000,USD,1402809540,943803672,459005868,USD
nm0000375,Robert Downey Jr.,The Judge,actor,tt1872194,2014,movie,50000000,USD,84419388,37300000,47119388,USD
nm0000375,Robert Downey Jr.,Chef,actor,tt2883512,2014,movie,11000000,USD,48428048,17004045,31424003,USD
nm0000375,Robert Downey Jr.,Iron Man 3,actor,tt1300854,2013,movie,200000000,USD,1214811252,805797258,409013994,USD
nm0000375,Robert Downey Jr.,The Avengers,actor,tt0848228,2012,movie,220000000,USD,1518815515,895457605,623357910,USD
nm0000375,Robert Downey Jr.,Sherlock Holmes: A Game of Shadows,actor,tt1515091,2011,movie,125000000,USD,543848418,357000000,186848418,USD
nm0000375,Robert Downey Jr.,Due Date,actor,tt1231583,2010,movie,65000000,USD,211780824,111241781,100539043,USD
nm0000375,Robert Downey Jr.,Iron Man 2,actor,tt1228705,2010,movie,200000000,USD,623933331,311500000,312433331,USD
nm0000375,Robert Downey Jr.,Sherlock Holmes,actor,tt0988045,2009,movie,90000000,USD,524028679,315000000,209028679,USD
nm0000375,Robert Downey Jr.,The Soloist,actor,tt0821642,2009,movie,60000000,USD,38332994,6612836,31720158,USD
nm0000375,Robert Downey Jr.,Tropic Thunder,actor,tt0942385,2008,movie,92000000,USD,195702963,85187650,110515313,USD
nm0000375,Robert Downey Jr.,The Incredible Hulk,actor,tt0800080,2008,movie,150000000,USD,264770996,129964083,134806913,USD
nm0000375,Robert Downey Jr.,Iron Man,actor,tt0371746,2008,movie,140000000,USD,585796247,266762121,319034126,USD
nm0000375,Robert Downey Jr.,Charlie Bartlett,actor,tt0423977,2007,movie,12000000,USD,5254986,1303287,3951699,USD
nm0000375,Robert Downey Jr.,Lucky You,actor,tt0338216,2007,movie,55000000,USD,8461686,2702736,5758950,USD
nm0000375,Robert Downey Jr.,Zodiac,actor,tt0443706,2007,movie,65000000,USD,84785914,51705830,33080084,USD
nm0000375,Robert Downey Jr.,Fur: An Imaginary Portrait of Diane Arbus,actor,tt0422295,2006,movie,16800000,USD,2312717,2089515,223202,USD
nm0000375,Robert Downey Jr.,A Scanner Darkly,actor,tt0405296,2006,movie,8700000,USD,7659918,2158302,5501616,USD
nm0000375,Robert Downey Jr.,The Shaggy Dog,actor,tt0393735,2006,movie,50000000,USD,87134280,26010711,61123569,USD
nm0000375,Robert Downey Jr.,A Guide to Recognizing Your Saints,actor,tt0473488,2006,movie,0,NULL,2035468,1517659,517809,USD
