Film,Director.s.
Iron Man,Jon Favreau
The Incredible Hulk,Louis Leterrier
Iron Man 2,Jon Favreau
Thor,Kenneth Branagh
Captain America: The First Avenger,Joe Johnston
Marvel's The Avengers,Joss Whedon
Iron Man 3,Shane Black
Thor: The Dark World,Alan Taylor
Captain America: The Winter Soldier,Anthony and Joe Russo
Guardians of the Galaxy,James Gunn
Avengers: Age of Ultron,Joss Whedon
Ant-Man,Peyton Reed
Captain America: Civil War,Anthony and Joe Russo
Doctor Strange,Scott Derrickson
Guardians of the Galaxy Vol. 2,James Gunn
Spider-Man: Homecoming,Jon Watts
Thor: Ragnarok,Taika Waititi
Black Panther,Ryan Coogler
Avengers: Infinity War,Anthony and Joe Russo
Ant-Man and the Wasp,Peyton Reed
Captain Marvel,Anna Boden and Ryan Fleck
Avengers: Endgame,Anthony and Joe Russo
Spider-Man: Far From Home,Jon Watts
Black Widow,Cate Shortland
Shang-Chi and the Legend of the Ten Rings,Destin Daniel Cretton
Eternals,Chloé Zhao
Spider-Man: No Way Home,Jon Watts
Doctor Strange in the Multiverse of Madness,Sam Raimi
Thor: Love and Thunder,Taika Waititi
Black Panther: Wakanda Forever,Ryan Coogler
The Marvels,Nia DaCosta
Guardians of the Galaxy Vol. 3,James Gunn
Ant-Man and the Wasp: Quantumania,Peyton Reed
Fantastic Four,Jon Watts
